PubMed ID,Title,Publication Date,Non-Academic Author(s),Company Affiliation(s),Corresponding Author Email
39871737,Rethinking Optimal Immunogens to Face SARS-CoV-2 Evolution Through Vaccination.,2025,N/A,N/A,N/A
39772174,Integrating Interpretability in Machine Learning and Deep Neural Networks: A Novel Approach to Feature Importance and Outlier Detection in COVID-19 Symptomatology and Vaccine Efficacy.,2024,N/A,N/A,N/A
39768534,Willingness to Receive COVID-19 Booster Dose Using the Health Belief Model (HBM) Among University Students: Cross-Sectional Study.,2024,N/A,N/A,N/A
39608577,Expanded immune imprinting and neutralization spectrum by hybrid immunization following breakthrough infections with SARS-CoV-2 variants after three-dose vaccination.,2024,N/A,N/A,N/A
39606247,Comparison of antibody responses of heterologous and homologous Covid-19 booster vaccination: an observational study.,2024,N/A,N/A,N/A
39591110,Humoral Response to SARS-CoV-2 Vaccine-Boost in Cancer Patients: A Case Series from a Southern European Cancer Center.,2024,N/A,N/A,N/A
39568586,COVID-19 vaccines: current and future challenges.,2024,N/A,N/A,N/A
39441542,Lipschütz ulcer following first dose of COVID-19 tozinameran vaccine: Report of a case and review of a World Health Organization pharmacovigilance database.,2024,N/A,N/A,N/A
39364209,Assessment of COVID-19 Vaccine Impact on Women's Menstrual Health within an 18-Month Follow-Up.,2024,N/A,N/A,N/A
39203967,Omicron XBB.1.16-Adapted Vaccine for COVID-19: Interim Immunogenicity and Safety Clinical Trial Results.,2024,N/A,N/A,N/A
39162540,Diversified humoral immunity and impacts of booster vaccines: SARS-CoV-2 antibody profile and Omicron BA.2 neutralization before and after first or second boosters.,2024,N/A,N/A,N/A
39144602,Personality factors and pandemic-related behaviors.,2024,N/A,N/A,N/A
39119342,A single-dose MCMV-based vaccine elicits long-lasting immune protection in mice against distinct SARS-CoV-2 variants.,2024,N/A,N/A,N/A
39108860,Comparison of adverse events following the second/third dose of BNT162b2 in a medical institute in Japan.,2024,N/A,N/A,N/A
39097207,Modelling on COVID-19 control with double and booster-dose vaccination.,2024,N/A,N/A,N/A
39040886,Adverse events of COVID-19 vaccination during 2021-2022 suppressed by breakfast consumption and favorable sleeping habit among Japanese university students.,2024,N/A,N/A,N/A
38948581,Safety monitoring of precautionary third dose of COVID-19 vaccines in a district in Northern India.,2024,N/A,N/A,N/A
38865463,COVID-19 point-of-care tests can identify low-antibody individuals: In-depth immunoanalysis of boosting benefits in a healthy cohort.,2024,Paul Fields,"Adaptive Biotechnologies, Seattle, WA, USA.",N/A
38835792,Clinical characteristics and risk factors in patients with SARS-CoV-2 Omicron variant infection complicated with cardiovascular diseases.,2024,N/A,N/A,N/A
38813301,COVID-19 Vaccination Rates and Predictors of Vaccine Uptake Among Adults With Chronic Obstructive Pulmonary Disease: Insights From the 2022 National Health Interview Survey.,2024,Ifeyinwa H Ofuase-Lasekan,"Family Medicine, Provincial Health Services Authority, Vancouver, CAN.",N/A
